iter	Passed	Remaining
914	10651	989
915	10662	977
916	10673	966
917	10686	954
918	10697	942
919	10710	931
920	10723	919
921	10733	908
922	10745	896
923	10758	884
924	10770	873
925	10780	861
926	10791	849
927	10802	838
928	10814	826
929	10826	814
930	10839	803
931	10851	791
932	10861	780
933	10873	768
934	10885	756
935	10898	745
936	10909	733
937	10922	721
938	10932	710
939	10943	698
940	10955	686
941	10967	675
942	10978	663
943	10989	651
944	11002	640
945	11013	628
946	11025	617
947	11035	605
948	11046	593
949	11058	582
950	11070	570
951	11080	558
952	11094	547
953	11108	535
954	11119	523
955	11131	512
956	11142	500
957	11154	489
958	11166	477
959	11177	465
960	11189	454
961	11201	442
962	11213	430
963	11225	419
964	11237	407
965	11248	395
966	11261	384
967	11273	372
968	11284	361
969	11296	349
970	11307	337
971	11320	326
972	11334	314
973	11346	302
974	11359	291
975	11372	279
976	11385	268
977	11396	256
978	11409	244
979	11422	233
980	11437	221
981	11449	209
982	11461	198
983	11473	186
984	11485	174
985	11496	163
986	11509	151
987	11521	139
988	11535	128
989	11548	116
990	11559	104
991	11571	93
992	11583	81
993	11596	69
994	11609	58
995	11620	46
996	11633	35
997	11646	23
998	11657	11
999	11669	0
